author,normalized_content,normalized_title
Leopoldo Lugones,parque confuso lánguidas brisas cielo sahúma ciprés huso devana ovillo bruma telar luna tiende plata urdimbre abandona rada lúgubre corsario después suena timbre vecindario horizonte malva mar argentina curva frente calva luna inclina bien vago nácar disemina valva madreperla flor agua marina brillo lóbrego frasco adquiere cada ola noche enorme peñasco va quedándose inmensamente sola forma tictac reloj accesorio tela vida siniestro pespunte flota noche blancor mortuorio benzoica insispidez sanatorio cada transeúnte parece silueta purgatorio emoción prosaica suena lejos canto lúgubre alarde voz hombre desgraciado arde calor negro rom jamaica reina espíritu subconsciencie arcaica miedo demasiado tarde tras horizonte abstracto húndese fin luna lúgubre abandono tinieblas palpan tacto helado sombrío mono lunares huellas azar eternidad desdicha orión juega ficha problemático dominó estrellas frescor nocturno triunfa amoroso empeño domina frente peso taciturno negro racimo sueño fugaz desvarío embargan soñadas visiones vacilan constelaciones sueño formado aroma estío flota antiguo cansancio bizancio languideciendo íntima baranda ilusión alguna contestas trémula demanda mismo tiempo luna gran perla apaga meñique disipa brisa retardados sonrojos cielo barca va pique definitivamente naufraga ojos,muerte luna
Marilina Rébora,si velas vendré ladrón llegar sepas hora estate alerta pues vigila cada acción recibido escuchado memora aunque nombre vivo posees muerto perfectas dios encontrado obras consolídalas pronto morir cierto si arrepientes modo obras siete estrellas diestra siete espíritus dios único arde vestirá venciere blancas vestiduras libro vida nombre santa muestra jamás borrar diré alturas vendré ladrón igual temprano tarde vendré ladrón improviso oscuras,si velas
Antonio Colinas,pequeña sueños piel palomas pálida presencia luna bosque nieve recién caída astros piel mácula tersura suave tronché columnas firmes derrumbé techumbre alta noche sueños puros pan amanecer blanco cuello frente osamenta querida veta venero noble aquí brazos abiertos río venas descansadas amor mundo dispuesto consumir beso glorioso pequeña amada olvides noche julio olvidé aventura salir buscar belleza cautiva,poema belleza cautiva perdí
José María Hinojosa,dedos nieve repiquetearon tamboril espacio parábolas nubes forman halo cristal monte nevado línea plano quiero poner vista sólo espacio sencillo vez complicado,sencillez
Rubén Izaguirre Fiallos,naciste armenia vivir mundo tres nombres josé vasconcelos enrique gómez carrillo antoine saintexupéry tres camas seis piernas mujer bella mundo insigne guanaquita pude amar resto vida ah consuelo suncín condesa sonsonate comiste mundo enseñarnos esqueleto,breve carta consuelo suncín
Leopoldo María Panero,oscuridad nieve buitres desespero oscuridad nueve buitres nieve buitres castillos murciélagos curidad nueve buitres deses nieve lobos casas abandonadas ratas desespero scuridad nueve buitres des buitres caballos monstruo verde desespero bien planeada oscuridad decapitaciones,pasadizo secreto
Gabriela Mistral,siento corazón dulzura fundirse ceras óleo tardo vino venas siento vida va huyendo callada dulce gacela,atardecer
Pablo Neruda,cien sonetos amor trajo amor cola dolores largo rayo estático espinas cerramos ojos ninguna herida separe culpa ojos llanto manos clavaron espada buscaron pies camino llegó corazón miel sombría amor inmensa ola estrelló piedra dura amasó sola harina cayó dolor dulce rostro así luz estación abierta consagró primavera herida,cien sonetos amor
William Shakespeare,guerra pujante tirano tiempo sanguinario decaer aseguras mejores medios rima estéril cenit horas risueñas incultos jardines virginales darían vivientes flores semejantes efigie vida nueva vivos trazos pues pluma inhábil pincel harán nobleza hermosura ojos hombres vivan si mismo entregas quedarás dulce destreza retratado,guerra pujante
Gabriela Mistral,espino prende roca enloquecida contorsión espíritu yermo retorcido angustia sol encina bella júpiter narciso mirto flor hicieron vulcano horrible dios forjador hicieron encaje claro álamo temblador alma caminante conozca aflicción greñas nacen flores así verso nació job salmo leproso agudo intenso dolor aunque llene aire ardiente siestas exhalación greña oscura temblarle nido turbador contado conoce noche dolor espeso millón espinas magullaron corazón abrazado hermana si agar abrazara job nudo ternura desesperación,espino
Luis de Góngora,salí señor don pedro mañana ver toro nacimiento mula contento alborotando córdoba llana romper tierra visto abesana prójimos paso menos lento entró ciudad tan aliento aún dejó barbacana desherréis zagal clavo valer causa si miente cuerda apela rabo perdonadme hablar tan cortésmente alcalde bravo podrá ser manso presidente,don pedro cárdenas
Rafael Alberti,decidme vez si alegre aquello x entonces todavía alba pensado negra existencia malos cuchillos juro luna ser cocinero juras luna ser cocinera jura luna ser siquiera humo tan tristísima cocina quién muerto oca arrepentida ser pato gorrión ser profesor lengua china gallo ser hombre tener talento admirar desgraciada suele ser invierno suela zapato reina perdido corona presidente república sombrero creo perdido nunca perdido quiere decir buenos días,día muerte mano armada
Juan Ramón Jiménez,arriba canta pájaro abajo canta agua arriba abajo abre alma dos melodías columna plata hoja pájaro estrella baja flor raíz agua dos conmociones columna plata tronco ideal alma alma mece estrella trino onda flor baja abajo arriba tiembla alma,álamo blanco
Delfina Acosta,hombros inclinar rostro lirio aún vivo encontré contarte culpable versos lúgubres llama ciega negra arde pino neblinas verso cuanto muere cuanto nace ropa flor carne blanca orquídeas amor abren mirarte amado verme mirada besar anillo gris abrazarte si tiempo despedirse perderse encontrarse camino furiosas hojas llegaron fantasmas tarde alma sola alma si rondan últimos amantes,pino penumbras
Alfonsina Storni,pesar misma amo tan vano hermoso dice vigilante orgullo elegías gusto bajo vendas perfil romano dicta deseo tenebroso pagano abrirte ancho tajo murmullo vital colado sólo muerto arrullo dulce envolviera buscando boca mano salomé rediviva pobres gestos cosas trágicas malos tiempos éstos incompleta vive siempre vida pues pierde línea fiesta griega acaso indeciso ondulante pliega ojos lejanos alma distraída,indolencia
Manuel del Cabral,ahora aquí puedes dices llamas llamas nombre comienzo respirarte confirmar existes probable entonces nombre cualquier detalle línea curva material fuga cada palabra forma muerte puro ser muere presente muere hacia contorno muere hacia vida,huésped súbito
Antonio Fernández Lera,cuestión segundo asomo abismo sueño respiro trabas aire invierno imagino estruendo alfiler imán viaje goce dolor pienso piedra cae alto montaña ilocalizable siempre pienso manzana cae árbol pequeños bichos mastican fruta caída llevados ley hambre abismo espejo siento rumor hojas alrededor camastro veo cristal junto rostro almacén miradas perdidas pregunto si acaso archivero,magnetismo
Mario Benedetti,manos traigo viejas señales manos ahora doy puedo vergenza sentimiento si sueños ensueños ritos primero vuelve siempre mismo salvando muros elevan tarde pies desnudos azar ofrece doble vía vos soledades tampoco si habito memoria solo miradas insomnes dan abasto dónde quedó luna ojos claros mírame pronto descuido vuelva importa paisaje cambie rompa alcanza valles boca deslumbres basta cielo costumbre manos traigo viejas señales manos ahora doy puedo vergenza sentimiento,señales
Antonio Machado,noble poeta escuchado ecos tarde violines otoño verlaine cortado rosas ronsard jardines francia hoy peregrino ultramar sol trae oro verbo divino salterios loor vibran coro nave bien guarnida fuerte casco acerada prora viento luz blanca vela henchida surca pronta arribar mar sonora grito salve bandera flamígera hermosa galera nueva españa españa viene,maestro rubén darío
Jorge Luis Borges,sé mayores portugueses borges vaga gente prosigue carne oscuramente hábitos rigores temores tenues si nunca sido ajenos trámites arte indescifrablemente forman parte tiempo tierra olvido mejor así cumplida faena portugal famosa gente forzó murallas oriente dio mar mar arena rey místico desierto perdió jura muerto,borges
Pablo Neruda,mar tormentoso chile vive rosado congrio gigante anguila nevada carne ollas chilenas costa nació caldillo grávido suculento provechoso lleven cocina congrio desollado piel manchada cede guante descubierto queda entonces racimo mar congrio tierno reluce desnudo preparado apetito ahora recoges ajos acaricia primero marfil precioso huele fragancia iracunda entonces deja ajo picado caer cebolla tomate cebolla color oro mientras cuecen vapor regios camarones marinos llegaron punto cuajó sabor salsa formada jugo océano agua clara desprendió luz cebolla entonces congrio sumerja gloria olla aceite contraiga impregne sólo necesario dejar manjar caer crema rosa espesa fuego lentamente entregar tesoro caldillo calienten esencias chile mesa lleguen recién casados sabores mar tierra plato conozcas cielo,oda caldillo congrio
